name,date,category,detail
Lausanne Treaty defines border through river median line,1923-07-24,Legal,Treaty date
Border fixed to the 1926 river course,1926-01-01,Legal,By January 1926
First 11.5 km fence section,2011-01-01,Infrastructure,Construction year
Systematic documentation of strandings begins,2020-01-01,Crisis,Early 2020
Fence expanded by another 32 km,2020-03-01,Infrastructure,After March 2020
Further fence stages built,2023-01-01,Infrastructure,2023–2024
Wildfire begins near the river delta,2023-08-19,Crisis,17 days
River-shift study reaches present,2024-01-01,Research,1923–2024
